City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,brookings,44.3114,-96.7984,284.87,84,100,0.89,US,1697682663
147,stanley,54.868,-1.6985,283.55,93,100,9.2,GB,1697682351
148,atafu village,-8.5421,-172.5159,301.91,72,26,3.51,TK,1697682356
149,colonia menno,-22.3667,-59.8167,296.78,74,14,4.82,PY,1697682931
150,kofu,35.6639,138.5683,296.32,53,100,0.89,JP,1697682931
151,haiku-pauwela,20.9219,-156.3051,301.16,66,40,9.77,US,1697682654
152,yemva,62.59,50.8594,276.51,84,100,4.92,RU,1697682931
153,belgrade,44.804,20.4651,285.56,77,0,3.09,RS,1697682651
154,port mathurin,-19.6833,63.4167,296.89,81,97,5.24,MU,1697682639
155,nizhnesortymskiy,62.4397,71.7603,276.27,76,4,7.02,RU,1697682932
156,salmon arm,50.6998,-119.3024,285.77,87,100,1.54,CA,1697682911
157,egilsstadir,65.2653,-14.3948,281.1,71,100,2.57,IS,1697682932
158,eyl,7.9803,49.8164,299.5,82,6,2.22,SO,1697682697
159,vila franca do campo,37.7167,-25.4333,293.38,85,73,7.6,PT,1697682628
160,kapuskasing,49.4169,-82.4331,282.15,81,100,2.57,CA,1697682576
161,tarauaca,-8.1614,-70.7656,298.81,72,58,0.96,BR,1697682633
162,nadi,-17.8,177.4167,303.15,58,40,5.66,FJ,1697682932
163,san marcos,33.1434,-117.1661,298.17,85,0,1.54,US,1697682933
164,chonchi,-42.6128,-73.8092,282.71,96,78,1.92,CL,1697682674
165,khandyga,62.6667,135.6,271.56,90,100,2.29,RU,1697682668
166,bargaal,11.2864,51.0773,299.34,79,1,1.03,SO,1697682933
167,kharp,66.8014,65.8081,272.99,99,100,4.04,RU,1697682933
168,inarajan village,13.2736,144.7484,303.93,88,22,5.31,GU,1697682933
169,nova vicosa,-17.8919,-39.3719,294.67,87,4,0.56,BR,1697682694
170,olonkinbyen,70.9221,-8.7187,276.88,89,100,10.53,SJ,1697682631
171,acarau,-2.8856,-40.12,298.35,83,0,3.53,BR,1697682934
172,tutoia,-2.7619,-42.2744,299.47,81,0,5.1,BR,1697682934
173,itoman,26.1247,127.6694,301.58,59,40,4.63,JP,1697682934
174,akrehamn,59.2667,5.1833,281.29,46,70,10.8,NO,1697682934
175,dakhla,23.6848,-15.958,294.61,92,0,6.56,EH,1697682934
176,zhangjiakou shi xuanhua qu,40.6103,115.0447,285.04,25,57,7.37,CN,1697682935
177,nieuw amsterdam,5.8833,-55.0833,298.16,87,100,3.44,SR,1697682935
178,xai-xai,-25.0519,33.6442,294.48,88,84,3.83,MZ,1697682935
179,enewetak,11.3474,162.3373,301.82,77,90,8.77,MH,1697682653
180,flying fish cove,-10.4217,105.6791,300.97,74,75,7.2,CX,1697682682
181,lihue,21.9789,-159.3672,303.73,63,0,4.63,US,1697682692
182,taroa,8.7058,171.2275,299.44,78,100,1.63,MH,1697682935
183,kapenguria,1.2511,35.0895,287.09,86,100,1.84,KE,1697682936
184,prince rupert,54.3161,-130.3201,285.98,84,100,10.8,CA,1697682936
185,dudinka,69.4058,86.1778,277.94,99,100,7.6,RU,1697682669
186,khorixas,-20.3667,14.9667,289.39,47,0,0.43,NA,1697682936
187,vorgashor,67.5833,63.95,273.44,79,100,6.3,RU,1697682631
188,bay roberts,47.5999,-53.2648,280.66,93,3,0.45,CA,1697682675
189,coquimbo,-29.9533,-71.3436,287.0,76,0,2.57,CL,1697682688
190,aliveri,38.4167,24.0333,290.6,79,32,1.39,GR,1697682936
191,saint-philippe,-21.3585,55.7679,297.92,86,63,2.9,RE,1697682937
192,mejit,10.2753,170.8646,301.22,73,99,8.09,MH,1697682937
193,thompson,55.7435,-97.8558,271.24,93,0,0.0,CA,1697682937
194,shiprock,36.7855,-108.687,293.34,21,0,4.15,US,1697682937
195,tobruk,32.0836,23.9764,295.59,47,13,2.66,LY,1697682937
196,santa ana de yacuma,-13.75,-65.4333,302.89,45,12,1.79,BO,1697682937
197,maine soroa,13.2114,12.0241,301.59,20,99,3.71,NE,1697682938
198,larache,35.1932,-6.1557,294.35,83,100,5.71,MA,1697682938
199,sitka,57.0531,-135.33,286.09,76,100,10.29,US,1697682644
200,fuling,29.7022,107.3919,290.2,91,100,2.84,CN,1697682938
201,damasak,13.0977,12.4952,301.18,21,96,4.03,NG,1697682938
202,west bay,19.3667,-81.4167,299.19,92,75,3.09,KY,1697682623
203,mascote,-15.5631,-39.3025,292.13,97,55,0.75,BR,1697682710
